cm	fotos	estojo	personnalite	laminas	base	final
20	44	1	0	22	R$ 1.320,00	R$ 1.688,00
20	45	1	0	23	R$ 1.350,00	R$ 1.715,00
20	46	1	0	23	R$ 1.380,00	R$ 1.742,00
20	47	1	0	24	R$ 1.410,00	R$ 1.769,00
20	48	1	0	24	R$ 1.440,00	R$ 1.796,00
20	49	1	0	25	R$ 1.470,00	R$ 1.823,00
20	50	1	0	25	R$ 1.500,00	R$ 1.850,00
20	51	1	0	26	R$ 1.530,00	R$ 1.800,50
20	52	1	0	26	R$ 1.560,00	R$ 1.826,00
20	53	1	0	27	R$ 1.590,00	R$ 1.851,50
20	54	1	0	27	R$ 1.620,00	R$ 1.877,00
20	55	1	0	28	R$ 1.650,00	R$ 1.902,50
20	56	1	0	28	R$ 1.680,00	R$ 1.928,00
20	57	1	0	29	R$ 1.710,00	R$ 1.953,50
20	58	1	0	29	R$ 1.740,00	R$ 1.979,00
20	59	1	0	30	R$ 1.770,00	R$ 2.004,50
20	60	1	0	30	R$ 1.800,00	R$ 2.030,00
20	61	1	0	31	R$ 1.830,00	R$ 1.964,00
20	62	1	0	31	R$ 1.860,00	R$ 1.988,00
20	63	1	0	32	R$ 1.890,00	R$ 2.012,00
20	64	1	0	32	R$ 1.920,00	R$ 2.036,00
20	65	1	0	33	R$ 1.950,00	R$ 2.060,00
20	66	1	0	33	R$ 1.980,00	R$ 2.084,00
20	67	1	0	34	R$ 2.010,00	R$ 2.108,00
20	68	1	0	34	R$ 2.040,00	R$ 2.132,00
20	69	1	0	35	R$ 2.070,00	R$ 2.156,00
20	70	1	0	35	R$ 2.100,00	R$ 2.180,00
20	71	1	0	36	R$ 2.130,00	R$ 2.204,00
20	72	1	0	36	R$ 2.160,00	R$ 2.228,00
20	73	1	0	37	R$ 2.190,00	R$ 2.252,00
20	74	1	0	37	R$ 2.220,00	R$ 2.276,00
20	75	1	0	38	R$ 2.250,00	R$ 2.300,00
20	76	1	0	38	R$ 2.280,00	R$ 2.324,00
20	77	1	0	39	R$ 2.310,00	R$ 2.348,00
20	78	1	0	39	R$ 2.340,00	R$ 2.372,00
20	79	1	0	40	R$ 2.370,00	R$ 2.396,00
20	80	1	0	40	R$ 2.400,00	R$ 2.420,00
20	81	1	0	41	R$ 2.430,00	R$ 2.444,00
20	82	1	0	41	R$ 2.460,00	R$ 2.468,00
20	83	1	0	42	R$ 2.490,00	R$ 2.492,00
20	84	1	0	42	R$ 2.520,00	R$ 2.516,00
20	85	1	0	43	R$ 2.550,00	R$ 2.540,00
20	86	1	0	43	R$ 2.580,00	R$ 2.564,00
20	87	1	0	44	R$ 2.610,00	R$ 2.588,00
20	88	1	0	44	R$ 2.640,00	R$ 2.612,00
20	89	1	0	45	R$ 2.670,00	R$ 2.636,00
20	90	1	0	45	R$ 2.700,00	R$ 2.660,00
20	20	0	1	10	R$ 600,00	R$ 1.250,00
20	21	0	1	11	R$ 630,00	R$ 1.280,00
20	22	0	1	11	R$ 660,00	R$ 1.310,00
20	23	0	1	12	R$ 690,00	R$ 1.340,00
20	24	0	1	12	R$ 720,00	R$ 1.370,00
20	25	0	1	13	R$ 750,00	R$ 1.400,00
20	26	0	1	13	R$ 780,00	R$ 1.430,00
20	27	0	1	14	R$ 810,00	R$ 1.460,00
20	28	0	1	14	R$ 840,00	R$ 1.490,00
20	29	0	1	15	R$ 870,00	R$ 1.520,00
20	30	0	1	15	R$ 900,00	R$ 1.550,00
20	31	0	1	16	R$ 930,00	R$ 1.533,50
20	32	0	1	16	R$ 960,00	R$ 1.562,00
20	33	0	1	17	R$ 990,00	R$ 1.590,50
20	34	0	1	17	R$ 1.020,00	R$ 1.619,00
20	35	0	1	18	R$ 1.050,00	R$ 1.647,50
20	36	0	1	18	R$ 1.080,00	R$ 1.676,00
20	37	0	1	19	R$ 1.110,00	R$ 1.704,50
20	38	0	1	19	R$ 1.140,00	R$ 1.733,00
20	39	0	1	20	R$ 1.170,00	R$ 1.761,50
20	40	0	1	20	R$ 1.200,00	R$ 1.790,00
20	41	0	1	21	R$ 1.230,00	R$ 1.757,00
20	42	0	1	21	R$ 1.260,00	R$ 1.784,00
20	43	0	1	22	R$ 1.290,00	R$ 1.811,00
20	44	0	1	22	R$ 1.320,00	R$ 1.838,00
20	45	0	1	23	R$ 1.350,00	R$ 1.865,00
20	46	0	1	23	R$ 1.380,00	R$ 1.892,00
20	47	0	1	24	R$ 1.410,00	R$ 1.919,00
20	48	0	1	24	R$ 1.440,00	R$ 1.946,00
20	49	0	1	25	R$ 1.470,00	R$ 1.973,00
20	50	0	1	25	R$ 1.500,00	R$ 2.000,00
20	51	0	1	26	R$ 1.530,00	R$ 1.950,50
20	52	0	1	26	R$ 1.560,00	R$ 1.976,00
20	53	0	1	27	R$ 1.590,00	R$ 2.001,50
20	54	0	1	27	R$ 1.620,00	R$ 2.027,00
20	55	0	1	28	R$ 1.650,00	R$ 2.052,50
20	56	0	1	28	R$ 1.680,00	R$ 2.078,00
20	57	0	1	29	R$ 1.710,00	R$ 2.103,50
20	58	0	1	29	R$ 1.740,00	R$ 2.129,00
20	59	0	1	30	R$ 1.770,00	R$ 2.154,50
20	60	0	1	30	R$ 1.800,00	R$ 2.180,00
20	61	0	1	31	R$ 1.830,00	R$ 2.114,00
20	62	0	1	31	R$ 1.860,00	R$ 2.138,00
20	63	0	1	32	R$ 1.890,00	R$ 2.162,00
20	64	0	1	32	R$ 1.920,00	R$ 2.186,00
20	65	0	1	33	R$ 1.950,00	R$ 2.210,00
20	66	0	1	33	R$ 1.980,00	R$ 2.234,00
20	67	0	1	34	R$ 2.010,00	R$ 2.258,00
20	68	0	1	34	R$ 2.040,00	R$ 2.282,00
20	69	0	1	35	R$ 2.070,00	R$ 2.306,00
20	70	0	1	35	R$ 2.100,00	R$ 2.330,00
20	71	0	1	36	R$ 2.130,00	R$ 2.354,00
20	72	0	1	36	R$ 2.160,00	R$ 2.378,00
20	73	0	1	37	R$ 2.190,00	R$ 2.402,00
20	74	0	1	37	R$ 2.220,00	R$ 2.426,00
20	75	0	1	38	R$ 2.250,00	R$ 2.450,00
20	76	0	1	38	R$ 2.280,00	R$ 2.474,00
20	77	0	1	39	R$ 2.310,00	R$ 2.498,00
20	78	0	1	39	R$ 2.340,00	R$ 2.522,00
20	79	0	1	40	R$ 2.370,00	R$ 2.546,00
20	80	0	1	40	R$ 2.400,00	R$ 2.570,00
20	81	0	1	41	R$ 2.430,00	R$ 2.594,00
20	82	0	1	41	R$ 2.460,00	R$ 2.618,00
20	83	0	1	42	R$ 2.490,00	R$ 2.642,00
20	84	0	1	42	R$ 2.520,00	R$ 2.666,00
